wineryName,name,varietal
"Bartolo Mascarello",Nebbiolo,varietal
"Giuseppe Mascarello  Figlio",Nebbiolo,varietal
"Giuseppe Mascarello",Nebbiolo,varietal
Oddero,Nebbiolo,varietal
"Armando Parusso",Nebbiolo,varietal
"Luigi Pira",Nebbiolo,varietal
"Azienda Agricola E. Pira  Figli",Nebbiolo,varietal
"Alfredo Prunotto",Nebbiolo,varietal
"Giuseppe Rinaldi",Nebbiolo,varietal
"Alfredo  Luca Roagna",Nebbiolo,varietal
"Rocche dei Manzoni","Other Red Blends",varietal
"Luciano Sandrone",Nebbiolo,varietal
"Giacomo Vico",Nebbiolo,varietal
"Tenuta Grillo",Freisa,varietal
"Cascina Castlet","Red Blend",varietal
"Dominico Clerico",Nebbiolo,varietal
"Flavio Roddolo",Barbera,varietal
Gillardi,Syrah,varietal
"Giuseppe E Figlio Mascarello",Freisa,varietal
"Collis Breclemae",Nebbiolo,varietal
"Cascina Tavijn",Grignolino,varietal
"Cantine del Castello di Conti",Nebbiolo,varietal
Orsolani,Nerreto,varietal
"Cantine Sant'Agata",Ruche,varietal
Sottimano,Brachetto,varietal
"Proprieta Sperino",Nebbiolo,varietal
"Ca' Donini","Pinot Grigio",varietal
"Les Boucaults",Sancerre,varietal
Alumapu,"Pinot Noir",varietal
"Quattro Mani","Montepulciano DAbruzzo",varietal
Wyatt,"Cabernet Sauvignon",varietal
Cune,Tempranillo,varietal
"Vina Sastre",Tempranillo,varietal
"El Castro de Valtuille",Mencia,varietal
"Joel Gott ""California""",Zinfandel,varietal
Andau,Zweigelt,varietal
"Fort Ross",Pinotage,varietal
"The Prisoner",Zinfandel,varietal
"Francesc Sanchez Bas ""Montgarnatx""",Grenache,varietal
" Ichishima Shuzo"," Sake",varietal
"Heinz Eifel","Riesling Eiswein",varietal
"Royal Tokaji","Other Dessert",varietal
"Justin Vineyards Winery","Cabernet Sauvignon",varietal
"Domaine Sainte Marie",Rose,varietal
Ca'Donini,"Pinot Grigio",varietal
"Leitz Rudesheimer Magealenkreuz","Riesling Spatlese",varietal
"Terrazas de los Andes",Malbec,varietal
Caymus,"Cabernet Sauvignon",varietal
"Col d'Orcia","Brunello di Montalcino",varietal
Araujo,"Cabernet Sauvignon",varietal
Collematonni,Sangiovese,varietal
"Il Palazzone","Cabernet Franc",varietal
"La Poderina",Sangiovese,varietal
"La Porta Di Vertine",Sangiovese,varietal
"Argiano Solenco",Syrah,varietal
"Bibi Graetz Testamatta","Sangiovese Blend",varietal
"Bellus Girasole","Cabernet Sauvignon",varietal
"Carpineta Fontalpino DoUTDes","Cabernet Sauvignon",varietal
"Castellodei Rampolla Sammarco","Cabernet Sauvignon",varietal
"Cesani Serise","Rosso Toscana",varietal
"Fertuna Lodai","Maremma Toscana",varietal
"Marchesi de Frescobaldi","Pinot Nero",varietal
"La Mozza",Syrah,varietal
Pacina,Sangiovese,varietal
"San Cristoforo",Sangiovese,varietal
" Castellodei Rampolla Vignad Alceo"," Caberner-Petit verdot",varietal
"Duemani Suisassi",Syrah,varietal
Fulingi,"Super Tuscan",varietal
"Riecine La Gioia","Cabernet - Merlot - Sangiovese",varietal
"Viticcio Monile","Cabernet Sauvignon",varietal
Fertuna,Serise,varietal
LeBerne,"Montepulciano DAbruzzo",varietal
"Il Conventino",Sangiovese,varietal
"Azienda Agricola Balter","Lagrein Merlot",varietal
Foradori,Teroldego,varietal
" Endrizzi",Merlot,varietal
"Casata Monfort",Teroldego,varietal
Endrizzi,Teroldego,varietal
"La Crotta di Vegneron","Pinot Grigio",varietal
"La Crotta di Vegneron","Petit Rouge",varietal
"Cave Des Onze Communes","Petit Rouge",varietal
"Franco Noussan",Tempranillo,varietal
"Stefano Accordini",Rondinella,varietal
