Alumapu,"Pinot Noir",varietal
Wyatt,"Cabernet Sauvignon",varietal
Wyatt,"Pinot Noir",varietal
Wyatt,Chardonnay,varietal
"El Castro de Valtuille",Mencia,varietal
"Joel Gott ""California""",Zinfandel,varietal
Andau,Zweigelt,varietal
"Fort Ross",Pinotage,varietal
"Fort Ross","Pinot Noir",varietal
"Fort Ross",Chardonnay,varietal
"Fort Ross",Rose,varietal
"The Prisoner",Zinfandel,varietal
" Ichishima Shuzo"," Sake",varietal
"Royal Tokaji","Other Dessert",varietal
"Royal Tokaji","Other White Blends",varietal
"Justin Vineyards Winery","Cabernet Sauvignon",varietal
"Domaine Sainte Marie",Rose,varietal
"Terrazas de los Andes",Malbec,varietal
"Terrazas de los Andes",Torrontes,varietal
"Terrazas de los Andes","Cabernet Sauvignon",varietal
"Terrazas de los Andes","Bordeaux Red Blends",varietal
"Terrazas de los Andes",Merlot,varietal
"Terrazas de los Andes",Chardonnay,varietal
Caymus,"Cabernet Sauvignon",varietal
Caymus,"White Blend",varietal
Caymus,Chardonnay,varietal
Caymus,Zinfandel,varietal
Caymus,"Petite Sirah",varietal
Caymus,"Rare White Blend",varietal
"Col d'Orcia","Brunello di Montalcino",varietal
"Col d'Orcia",Sangiovese,varietal
"Col d'Orcia","Other Red Blends",varietal
"Col d'Orcia","Cabernet Sauvignon",varietal
Araujo,"Cabernet Sauvignon",varietal
Araujo,"Sauvignon Blanc",varietal
Araujo,Viognier,varietal
Araujo,Syrah,varietal
Araujo,Sercial,varietal
"Azienda Agricola Balter",Merlot,varietal
"Azienda Agricola Balter",Lagrein,varietal
"Stefano Accordini",Rondinella,varietal
"Stefano Accordini",Corvina,varietal
"Stefano Accordini","Valpolicella Blend",varietal
"Stefano Accordini","Corvina Blend",varietal
"Stefano Accordini","Other Red Blends",varietal
"Stefano Accordini","Rare Red Blend",varietal
"Stefano Accordini",Montepulciano,varietal
"Azienda Agricola Ressia",Nebbiolo,varietal
"Flavio Roddolo",Barbera,varietal
